id,title,subject,type,family,year,classroomRole,interactionModel,curriculumTopic,curriculumRef
asdan-sow,BUILD ASDAN · Scheme of Work,BUILD Vocational & PfA,support,BUILD ASDAN,2026-27,,,,
asdan-master-hub,BUILD ASDAN · master hub,BUILD Vocational & PfA,teacher,BUILD ASDAN,2026-27,,,,
build-autumn-showcase,BUILD Pathway — Autumn 2026 showcase,BUILD Vocational & PfA,teacher,BUILD ASDAN,2026-27,,,,
build-resources-tools,BUILD · Resources & Tools List (no-workshop D&T setup),BUILD Vocational & PfA,support,BUILD ASDAN,2026-27,,,,
asdan-careers-w1,Careers W1 · My Strengths,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w2,Careers W2 · Jobs in My Community,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w3,Careers W3 · Skills Employers Want,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w4,Careers W4 · Routines & Reliability,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w5,Careers W5 · Applying Myself,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w7,Careers W6 · What Happens After Year 11,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-w6,Careers W7 · My Career Profile,BUILD Vocational & PfA,lesson,BUILD ASDAN · Careers,2026-27,,,,
asdan-careers-hub,Careers · slot hub,BUILD Vocational & PfA,teacher,BUILD ASDAN · Careers,2026-27,,,,
asdan-comm-w1,Community Project W1 · Choose Our Asset,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-w2,Community Project W2 · The Site's Need,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-w3,Community Project W3 · Our Team Roles,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-w4,Community Project W4 · Partner Update,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-w5,Community Project W5 · Plan the Handover,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-w6,Community Project W6 · The Handover & Its Benefit,BUILD Vocational & PfA,lesson,BUILD ASDAN · Community Project,2026-27,,,,
asdan-comm-hub,Community Project · slot hub,BUILD Vocational & PfA,teacher,BUILD ASDAN · Community Project,2026-27,,,,
asdan-fw-w1,FoodWise W1 · Food Groups,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-w2,FoodWise W2 · A Balanced Plate,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-w3,FoodWise W3 · Reading Labels,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-w4,FoodWise W4 · Kitchen Hygiene & Safety,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-w5,FoodWise W5 · Prepare a Healthy Snack,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-w6,FoodWise W6 · Plan a Healthy Meal,BUILD Vocational & PfA,lesson,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-fw-hub,FoodWise · slot hub,BUILD Vocational & PfA,teacher,BUILD ASDAN · FoodWise,2026-27,,,,
asdan-duke-w1,Junior/Young Duke + Social Enterprise W1 · Choose My Challenges,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-w2,Junior/Young Duke + Social Enterprise W2 · A Kindness Challenge,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-w3,Junior/Young Duke + Social Enterprise W3 · An Eco Challenge,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-w4,Junior/Young Duke + Social Enterprise W4 · An Independence Challenge,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-w5,Junior/Young Duke + Social Enterprise W5 · Our Social Enterprise,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-w6,Junior/Young Duke + Social Enterprise W6 · Pitch & Reflect,BUILD Vocational & PfA,lesson,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-duke-hub,Junior/Young Duke + Social Enterprise · slot hub,BUILD Vocational & PfA,teacher,BUILD ASDAN · Junior/Young Duke + Social Enterprise,2026-27,,,,
asdan-li-w1,Living Independently W1 · Where Money Comes From,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-w2,Living Independently W2 · Notes & Coins,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-w3,Living Independently W3 · Needs vs Wants,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-w4,Living Independently W4 · Everyday Prices,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-w5,Living Independently W5 · A Simple Budget,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-w6,Living Independently W6 · Shopping & Change,BUILD Vocational & PfA,lesson,BUILD ASDAN · Living Independently,2026-27,,,,
asdan-li-hub,Living Independently · slot hub,BUILD Vocational & PfA,teacher,BUILD ASDAN · Living Independently,2026-27,,,,
bev3-estate-hub,BUILD Estate v3 route · start here,BUILD Vocational & PfA,teacher,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w1-choose-our-asset,BUILD · ASDAN · W1 · Choose Our Asset (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w1-choose-my-challenges,BUILD · ASDAN · W1 · Duke & Social Enterprise · W1 · Choose My Challenges (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w1-food-groups,BUILD · ASDAN · W1 · Food Groups (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w1-my-strengths,BUILD · ASDAN · W1 · My Strengths (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w1-where-money-comes-from,BUILD · ASDAN · W1 · Where Money Comes From (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w2-a-balanced-plate,BUILD · ASDAN · W2 · A Balanced Plate (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w2-a-kindness-challenge,BUILD · ASDAN · W2 · Duke & Social Enterprise · W2 · A Kindness Challenge (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w2-jobs-in-my-community,BUILD · ASDAN · W2 · Jobs in My Community (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w2-notes-coins,BUILD · ASDAN · W2 · Notes & Coins (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w2-the-site-s-need,BUILD · ASDAN · W2 · The Site&#x27;s Need (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w3-an-eco-challenge,BUILD · ASDAN · W3 · Duke & Social Enterprise · W3 · An Eco Challenge (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w3-needs-vs-wants,BUILD · ASDAN · W3 · Needs vs Wants (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w3-our-team-roles,BUILD · ASDAN · W3 · Our Team Roles (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w3-reading-labels,BUILD · ASDAN · W3 · Reading Labels (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w3-skills-employers-want,BUILD · ASDAN · W3 · Skills Employers Want (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w4-an-independence-challenge,BUILD · ASDAN · W4 · Duke & Social Enterprise · W4 · An Independence Challenge (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w4-everyday-prices,BUILD · ASDAN · W4 · Everyday Prices (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w4-kitchen-hygiene-safety,BUILD · ASDAN · W4 · Kitchen Hygiene & Safety (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w4-partner-update,BUILD · ASDAN · W4 · Partner Update (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w4-routines-reliability,BUILD · ASDAN · W4 · Routines & Reliability (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w5-a-simple-budget,BUILD · ASDAN · W5 · A Simple Budget (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w5-applying-myself,BUILD · ASDAN · W5 · Applying Myself (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w5-our-social-enterprise,BUILD · ASDAN · W5 · Duke & Social Enterprise · W5 · Our Social Enterprise (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w5-plan-the-handover,BUILD · ASDAN · W5 · Plan the Handover (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w5-prepare-a-healthy-snack,BUILD · ASDAN · W5 · Prepare a Healthy Snack (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-duke-w6-pitch-reflect,BUILD · ASDAN · W6 · Duke & Social Enterprise · W6 · Pitch & Reflect (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-fw-w6-plan-a-healthy-meal,BUILD · ASDAN · W6 · Plan a Healthy Meal (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-li-w6-shopping-change,BUILD · ASDAN · W6 · Shopping & Change (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-comm-w6-the-handover-its-benefit,BUILD · ASDAN · W6 · The Handover & Its Benefit (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-careers-w6-what-happens-after-year-11,BUILD · ASDAN · W6 · What Happens After Year 11 (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
