viewport planted: RED; exit 1; PASS
viewport removed: GREEN; exit 0; PASS
audio planted: RED; exit 1; PASS
audio removed: GREEN; exit 0; PASS
exit dialogs planted: RED; exit 1; PASS
exit dialogs removed: GREEN; exit 0; PASS
base64 planted: RED; exit 1; PASS
base64 removed: GREEN; exit 0; PASS
carry planted: RED; exit 1; PASS
carry removed: GREEN; exit 0; PASS
gesture audio permitted: GREEN; exit 0; PASS
boot helper audio rejected: RED; exit 1; PASS
constructor boot audio rejected: RED; exit 1; PASS
constructor this-method audio alias rejected: RED; exit 1; PASS
inline gesture audio permitted: GREEN; exit 0; PASS
inline load audio rejected: RED; exit 1; PASS
transitive exit dialog rejected: RED; exit 1; PASS
non-exit dialog not misclassified: GREEN; exit 0; PASS
anchor default navigation dialog rejected: RED; exit 1; PASS
dynamic function cannot pass: INCONCLUSIVE; exit 2; PASS
string timer cannot pass: INCONCLUSIVE; exit 2; PASS
strings comments and data ignored: GREEN; exit 0; PASS
parse failure is inconclusive: INCONCLUSIVE; exit 2; PASS
viewport single quotes and entities: RED; exit 1; PASS
cross-script boot helper rejected: RED; exit 1; PASS
unknown audio context inconclusive: INCONCLUSIVE; exit 2; PASS
unrelated document cannot supply gesture caller: INCONCLUSIVE; exit 2; PASS
explicit script src supplies gesture caller: GREEN; exit 0; PASS
unaltered attached ArcadeHost load audio rejected: RED; exit 1; PASS
restored fixture: GREEN; exit 0; PASS
Five required reds: 5. Five required restored greens: 5.
