Harmless identifier, CSS, comments and ordinary sentence: expected exit 0; measured exit 0; PASS
PLANT Heading: expected exit 1; measured exit 1; PASS
REMOVE Heading: expected exit 0; measured exit 0; PASS
PLANT Title: expected exit 1; measured exit 1; PASS
REMOVE Title: expected exit 0; measured exit 0; PASS
PLANT Label: expected exit 1; measured exit 1; PASS
REMOVE Label: expected exit 0; measured exit 0; PASS
PLANT Lorem: expected exit 1; measured exit 1; PASS
REMOVE Lorem: expected exit 0; measured exit 0; PASS
PLANT TODO: expected exit 1; measured exit 1; PASS
REMOVE TODO: expected exit 0; measured exit 0; PASS
PLANT TBC: expected exit 1; measured exit 1; PASS
REMOVE TBC: expected exit 0; measured exit 0; PASS
PLANT Placeholder: expected exit 1; measured exit 1; PASS
REMOVE Placeholder: expected exit 0; measured exit 0; PASS
PLANT Your text here: expected exit 1; measured exit 1; PASS
REMOVE Your text here: expected exit 0; measured exit 0; PASS
PLANT XXX: expected exit 1; measured exit 1; PASS
REMOVE XXX: expected exit 0; measured exit 0; PASS
PLANT XXXX: expected exit 1; measured exit 1; PASS
REMOVE XXXX: expected exit 0; measured exit 0; PASS
PLANT nested label: expected exit 1; measured exit 1; PASS
REMOVE nested label: expected exit 0; measured exit 0; PASS
PLANT accessible attribute: expected exit 1; measured exit 1; PASS
REMOVE accessible attribute: expected exit 0; measured exit 0; PASS
PLANT visible input value: expected exit 1; measured exit 1; PASS
REMOVE visible input value: expected exit 0; measured exit 0; PASS
PLANT metadata title: expected exit 1; measured exit 1; PASS
REMOVE metadata title: expected exit 0; measured exit 0; PASS
PLANT innerHTML: expected exit 1; measured exit 1; PASS
REMOVE innerHTML: expected exit 0; measured exit 0; PASS
PLANT textContent: expected exit 1; measured exit 1; PASS
REMOVE textContent: expected exit 0; measured exit 0; PASS
PLANT constant dataflow: expected exit 1; measured exit 1; PASS
REMOVE constant dataflow: expected exit 0; measured exit 0; PASS
PLANT template literal: expected exit 1; measured exit 1; PASS
REMOVE template literal: expected exit 0; measured exit 0; PASS
PLANT array join: expected exit 1; measured exit 1; PASS
REMOVE array join: expected exit 0; measured exit 0; PASS
PLANT document write: expected exit 1; measured exit 1; PASS
REMOVE document write: expected exit 0; measured exit 0; PASS
PLANT event handler: expected exit 1; measured exit 1; PASS
REMOVE event handler: expected exit 0; measured exit 0; PASS
Unresolved DOM output fails closed: expected exit 2; measured exit 2; PASS
Unresolved computed sink fails closed: expected exit 2; measured exit 2; PASS
Shadowed parameter is not a false constant: expected exit 2; measured exit 2; PASS
JSX fails closed: expected exit 2; measured exit 2; PASS
Compiled JSX fails closed: expected exit 2; measured exit 2; PASS
React factory text child red: expected exit 1; measured exit 1; PASS
RESTORED final green: expected exit 0; measured exit 0; PASS
PLACEHOLDER_SELF_TEST PASS; real CLI mutations and restoration proved
